KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker,Er_Laast,Status,Alltid_Q1Q2,Alltid_Q3Q4,Rang_Median_Heur,Rekkefolge_Klasse
3401,Kongsvinger,Hamar,10212.0,511.0,False,Påbegynt,True,False,158.0,ekte_robust_tidlig
3452,Vestre Slidre,Hamar,11716.0,11716.0,False,Ikke påbegynt,True,False,159.0,ekte_robust_tidlig
3413,Stange,Hamar,7796.0,390.0,False,Påbegynt,True,False,160.0,ekte_robust_tidlig
4643,Årdal,Bergen,2758.0,2758.0,True,Ikke påbegynt,False,False,161.0,fleksibel_mellomgruppe
5044,Namsskogan,Trondheim,2245.0,2245.0,False,Ikke påbegynt,False,False,162.0,fleksibel_mellomgruppe
1825,Grane,Bodø,4468.0,4468.0,False,Ikke påbegynt,True,False,163.0,ekte_robust_tidlig
4626,Øygarden,Bergen,11226.0,11226.0,False,Ikke påbegynt,False,False,164.0,fleksibel_mellomgruppe
3322,Nesbyen,Oslo,11185.0,11185.0,False,Ikke påbegynt,True,False,165.0,ekte_robust_tidlig
5601,Alta,Tromsø,17457.0,16759.0,False,Påbegynt,True,False,166.0,ekte_robust_tidlig
5056,Hitra,Trondheim,8759.0,8759.0,False,Påbegynt,False,False,167.0,fleksibel_mellomgruppe
4620,Ulvik,Bergen,2743.0,2743.0,False,Ikke påbegynt,False,False,168.0,fleksibel_mellomgruppe
5053,Inderøy,Trondheim,7306.0,7306.0,False,Ikke påbegynt,False,False,169.0,fleksibel_mellomgruppe
4646,Fjaler,Bergen,3672.0,3672.0,False,Ikke påbegynt,False,False,170.0,fleksibel_mellomgruppe
5043,Raarvihke - Røyrvik,Trondheim,772.0,772.0,False,Ikke påbegynt,False,False,171.0,fleksibel_mellomgruppe
4645,Askvoll,Bergen,4575.0,4575.0,False,Ikke påbegynt,False,False,172.0,fleksibel_mellomgruppe
1845,Sørfold,Bodø,3450.0,3450.0,True,Ikke påbegynt,False,False,173.0,fleksibel_mellomgruppe
5047,Overhalla,Trondheim,3968.0,3968.0,False,Ikke påbegynt,False,False,174.0,fleksibel_mellomgruppe
4637,Hyllestad,Bergen,3011.0,3011.0,False,Ikke påbegynt,False,False,175.0,fleksibel_mellomgruppe
3118,Indre Østfold,Oslo,15270.0,15270.0,False,Ikke påbegynt,False,False,176.0,fleksibel_mellomgruppe
5061,Rindal,Trondheim,4368.0,4368.0,False,Ikke påbegynt,False,False,177.0,fleksibel_mellomgruppe
4623,Samnanger,Bergen,2675.0,2675.0,False,Ikke påbegynt,False,False,178.0,fleksibel_mellomgruppe
4636,Solund,Bergen,1189.0,1189.0,False,Ikke påbegynt,False,True,179.0,robust_sen
4627,Askøy,Bergen,5218.0,5218.0,False,Ikke påbegynt,False,True,180.0,robust_sen
5046,Høylandet,Trondheim,2199.0,2199.0,False,Ikke påbegynt,False,False,181.0,fleksibel_mellomgruppe
5049,Flatanger,Trondheim,1418.0,1390.0,False,Påbegynt,False,False,182.0,fleksibel_mellomgruppe
4632,Austrheim,Bergen,3305.0,3305.0,False,Ikke påbegynt,False,True,183.0,robust_sen
1841,Fauske - Fuossko,Bodø,5814.0,5814.0,True,Ikke påbegynt,False,False,184.0,fleksibel_mellomgruppe
5628,Deatnu - Tana,Tromsø,9359.0,9359.0,False,Ikke påbegynt,False,False,185.0,fleksibel_mellomgruppe
0301,Oslo,Oslo,35397.0,35397.0,False,Ikke påbegynt,False,False,186.0,fleksibel_mellomgruppe
3424,Rendalen,Hamar,11980.0,11980.0,True,Ikke påbegynt,False,True,187.0,robust_sen
1871,Andøy,Bodø,7827.0,7827.0,False,Ikke påbegynt,False,False,188.0,fleksibel_mellomgruppe
3324,Gol,Oslo,9600.0,9600.0,False,Ikke påbegynt,False,False,189.0,fleksibel_mellomgruppe
