KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
5021,Oppdal,Trondheim,37049.0,37049.0,76.88,2026-05-14,2027-07-06
5022,Rennebu,Trondheim,9074.0,0.0,0.0,2026-05-01,2027-02-08
5025,Rosse - Røros,Trondheim,11912.0,11912.0,51.28,2026-06-01,2028-03-16
5026,Holtålen,Trondheim,6292.0,6292.0,28.25,2026-07-30,2030-01-24
5027,Midtre Gauldal,Trondheim,13652.0,13652.0,49.35,2027-01-08,2033-01-31
5028,Melhus,Trondheim,7720.0,7720.0,23.92,2027-01-13,2033-02-24
5029,Skaun,Trondheim,4079.0,4079.0,10.4,2027-01-14,2033-04-06
5031,Malvik,Trondheim,3146.0,0.0,0.0,2026-05-01,2027-02-11
5032,Selbu,Trondheim,6104.0,6104.0,27.87,2026-08-05,2030-03-05
5033,Tydal,Trondheim,9999.0,9999.0,32.18,2026-07-02,2029-04-10
5034,Meråker,Trondheim,7116.0,7116.0,30.3,2026-07-07,2029-05-22
5035,Stjørdal,Trondheim,13808.0,13808.0,37.83,2026-06-22,2029-01-17
5036,Frosta,Trondheim,2623.0,0.0,0.0,2026-05-01,2027-02-15
5037,Levanger,Trondheim,12304.0,0.0,0.0,2026-05-01,2027-03-02
5038,Verdal,Trondheim,9686.0,7264.0,28.41,2026-07-27,2029-12-26
5041,Snåase - Snåsa,Trondheim,5861.0,5861.0,41.1,2026-06-08,2028-05-19
5042,Lierne,Trondheim,2972.0,2972.0,40.82,2026-06-15,2028-08-28
5043,Raarvihke - Røyrvik,Trondheim,772.0,772.0,17.27,2026-08-21,2030-08-09
5044,Namsskogan,Trondheim,2245.0,2245.0,20.82,2026-08-12,2030-05-14
5045,Grong,Trondheim,4904.0,4904.0,25.7,2026-08-10,2030-04-18
5046,Høylandet,Trondheim,2199.0,2199.0,13.02,2026-08-28,2030-09-23
5047,Overhalla,Trondheim,3968.0,3968.0,16.88,2026-08-25,2030-08-22
5049,Flatanger,Trondheim,1418.0,1390.0,7.68,2026-08-31,2030-09-30
5052,Leka,Trondheim,743.0,0.0,0.0,2026-05-01,2027-03-02
5053,Inderøy,Trondheim,7306.0,7306.0,17.63,2026-08-19,2030-07-26
5054,Indre Fosen,Trondheim,9918.0,9918.0,36.0,2026-06-26,2029-03-12
5055,Heim,Trondheim,10013.0,10013.0,29.67,2026-07-22,2029-10-18
5056,Hitra,Trondheim,8759.0,8759.0,20.32,2026-08-17,2030-06-24
5057,Ørland,Trondheim,3888.0,0.0,0.0,2026-05-01,2027-03-08
5058,Åfjord,Trondheim,8387.0,8387.0,30.12,2026-07-13,2029-07-11
5059,Orkland,Trondheim,21540.0,21540.0,57.52,2026-05-22,2027-12-02
5060,Nærøysund,Trondheim,7867.0,7867.0,29.55,2026-05-01,2027-03-17
5061,Rindal,Trondheim,4368.0,4368.0,16.88,2026-08-27,2030-09-19
5501,Tromsø,Tromsø,27947.0,27947.0,63.6,2027-06-24,2034-11-15
5503,Harstad - Hárstták,Tromsø,16861.0,16861.0,27.28,2027-01-13,2033-03-17
5510,Kvæfjord,Tromsø,5849.0,0.0,0.0,2026-05-01,2027-03-24
5512,Dielddanuorri - Tjeldsund,Tromsø,8058.0,8058.0,24.27,2026-12-09,2032-08-19
5514,Ibestad,Tromsø,3259.0,3259.0,8.68,2026-12-24,2032-09-30
5516,Gratangen,Tromsø,2092.0,2092.0,7.82,2027-01-19,2033-04-18
