KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
3326,Hemsedal,33,Buskerud,Oslo,1039.28,712.0,1403,4.0,Ikke påbegynt,0.0,8110.0,8110.0,,,False
3328,Ål,33,Buskerud,Oslo,2265.72,1081.0,2751,7.0,Ikke påbegynt,0.0,16194.0,16194.0,,,False
3330,Hol,33,Buskerud,Oslo,2523.6,1653.0,3356,8.0,Påbegynt,20.0,14988.0,11990.0,,,False
3332,Sigdal,33,Buskerud,Oslo,1915.51,811.0,2259,6.0,Ikke påbegynt,0.0,17054.0,17054.0,,,False
3334,Flesberg,33,Buskerud,Oslo,1009.34,538.0,1262,3.0,Ferdig,100.0,10021.0,0.0,,,False
3336,Rollag,33,Buskerud,Oslo,852.55,430.0,1050,3.0,Påbegynt,35.0,7744.0,5034.0,,,False
3338,Nore og Uvdal,33,Buskerud,Oslo,2752.34,2266.0,3962,9.0,Ikke påbegynt,0.0,13281.0,13281.0,,,False
3401,Kongsvinger,34,Innlandet,Hamar,1833.61,953.0,2277,6.0,Påbegynt,95.0,10212.0,511.0,,,False
3403,Hamar,34,Innlandet,Hamar,490.53,338.0,663,2.0,Påbegynt,95.0,3151.0,158.0,LACIIN63,Pågående,True
3405,Lillehammer,34,Innlandet,Hamar,1235.18,451.0,1410,4.0,Ikke påbegynt,0.0,10606.0,10606.0,LACIIN53,Pågående,True
3407,Gjøvik,34,Innlandet,Hamar,1180.56,629.0,1476,4.0,Ikke påbegynt,0.0,7897.0,7897.0,"LACIIN53,LACIIN61","Planlagt,Pågående",True
3411,Ringsaker,34,Innlandet,Hamar,1796.16,1123.0,2354,6.0,Påbegynt,95.0,12701.0,635.0,LACIIN63,Pågående,True
3412,Løten,34,Innlandet,Hamar,463.16,362.0,654,2.0,Påbegynt,95.0,2884.0,144.0,LACIIN63,Pågående,True
3413,Stange,34,Innlandet,Hamar,1098.96,641.0,1410,4.0,Påbegynt,95.0,7796.0,390.0,,,False
3414,Nord-Odal,34,Innlandet,Hamar,636.82,475.0,885,2.0,Ferdig,100.0,3411.0,0.0,,,False
3415,Sør-Odal,34,Innlandet,Hamar,960.99,479.0,1180,3.0,Ferdig,100.0,5776.0,0.0,,,False
3416,Eidskog,34,Innlandet,Hamar,970.57,603.0,1269,3.0,Ferdig,100.0,5440.0,0.0,,,False
3417,Grue,34,Innlandet,Hamar,868.74,777.0,1291,3.0,Ferdig,100.0,4204.0,0.0,,,False
3418,Åsnes,34,Innlandet,Hamar,967.29,1004.0,1528,4.0,Ferdig,100.0,5531.0,0.0,,,False
3419,Våler,34,Innlandet,Hamar,939.14,678.0,1290,3.0,Påbegynt,95.0,8900.0,445.0,LACIIN63,Pågående,True
