Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,4204,500,1054,1321,1665
Middels_90,4205,500,1034,1299,1636
Middels_90,4206,500,355,561,763
Middels_90,4207,500,625,809,1021
Middels_90,4211,500,500,647,830
Middels_90,4212,500,277,502,733
Middels_90,4213,500,311,543,748
Middels_90,4214,500,496,642,826
Middels_90,4215,500,408,594,797
Middels_90,4216,500,229,398,635
Middels_90,4217,500,212,341,577
Middels_90,4218,500,492,636,818
Middels_90,4219,500,1109,1406,1769
Middels_90,4220,500,216,355,622
Middels_90,4221,500,612,775,990
Middels_90,4222,500,933,1156,1438
Middels_90,4223,500,1160,1461,1811
Middels_90,4224,500,1084,1413,1781
Middels_90,4225,500,1073,1371,1734
Middels_90,4226,500,111,140,174
Middels_90,4227,500,216,363,587
Middels_90,4228,500,598,768,985
Middels_90,4601,500,1427,1900,2371
Middels_90,4602,500,655,1839,2390
Middels_90,4611,500,573,885,1172
Middels_90,4612,500,1544,1965,2471
Middels_90,4613,500,1566,1985,2496
Middels_90,4614,500,1564,1971,2485
Middels_90,4615,500,115,145,179
Middels_90,4616,500,119,151,187
Middels_90,4617,500,580,852,1140
Middels_90,4618,500,250,384,697
Middels_90,4619,500,486,783,1097
Middels_90,4620,500,772,976,1238
Middels_90,4621,500,272,501,818
Middels_90,4622,500,611,899,1176
Middels_90,4623,500,819,1043,1306
Middels_90,4624,500,677,937,1209
Middels_90,4625,500,121,152,188
Middels_90,4626,500,709,958,1229
Middels_90,4627,500,823,1039,1312
Middels_90,4628,500,1453,1811,2239
Middels_90,4629,500,122,153,189
Middels_90,4630,500,1459,1817,2252
Middels_90,4631,500,1427,1789,2210
Middels_90,4632,500,838,1060,1322
Middels_90,4633,500,122,153,192
Middels_90,4634,500,1446,1822,2236
Middels_90,4635,500,1458,1814,2257
Middels_90,4636,500,835,1054,1322
Middels_90,4637,500,807,1034,1285
Middels_90,4638,500,1315,1918,2447
Middels_90,4639,500,678,1882,2408
Middels_90,4640,500,480,793,2204
Middels_90,4641,500,543,1437,2300
Middels_90,4642,500,668,1800,2341
Middels_90,4643,500,730,944,1218
Middels_90,4644,500,419,705,2097
Middels_90,4645,500,783,1006,1259
Middels_90,4646,500,788,1004,1280
Middels_90,4647,500,262,461,831
Middels_90,4648,500,1144,1927,2419
Middels_90,4649,500,467,1083,2257
Middels_90,4650,500,628,1809,2363
Middels_90,4651,500,513,894,2251
Middels_90,5001,500,417,799,1127
Middels_90,5006,500,131,166,207
Middels_90,5007,500,138,173,215
Middels_90,5014,500,140,179,221
Middels_90,5020,500,143,180,223
Middels_90,5021,500,235,342,630
Middels_90,5022,500,149,187,231
Middels_90,5025,500,268,504,872
Middels_90,5026,500,548,802,1048
Middels_90,5027,500,276,1522,1960
Middels_90,5028,500,1269,1616,2023
Middels_90,5029,500,1311,1635,2037
Middels_90,5031,500,151,189,236
Middels_90,5032,500,541,811,1097
Middels_90,5033,500,408,767,1048
Middels_90,5034,500,453,785,1062
Middels_90,5035,500,348,685,1032
Middels_90,5036,500,152,193,237
Middels_90,5037,500,160,202,250
Middels_90,5038,500,518,806,1097
Middels_90,5041,500,354,616,860
Middels_90,5042,500,341,592,846
Middels_90,5043,500,745,969,1200
Middels_90,5044,500,697,909,1144
Middels_90,5045,500,584,829,1132
Middels_90,5046,500,779,1000,1237
Middels_90,5047,500,720,960,1242
Middels_90,5049,500,818,1026,1271
Middels_90,5052,500,160,202,251
Middels_90,5053,500,683,941,1210
Middels_90,5054,500,373,713,1074
Middels_90,5055,500,494,790,1099
Middels_90,5056,500,668,909,1207
Middels_90,5057,500,164,206,255
Middels_90,5058,500,514,774,1077
Middels_90,5059,500,241,1415,1960
Middels_90,5060,500,167,213,263
Middels_90,5061,500,733,956,1214
Middels_90,5501,500,1633,2062,2548
Middels_90,5503,500,1294,1628,2016
Middels_90,5510,500,172,216,269
Middels_90,5512,500,1096,1446,1817
Middels_90,5514,500,1206,1530,1900
Middels_90,5516,500,1314,1644,2026
Middels_90,5518,500,1313,1646,2036
Middels_90,5520,500,1263,1601,1987
Middels_90,5522,500,1307,1635,2021
Middels_90,5524,500,1216,1540,1925
Middels_90,5526,500,1192,1515,1887
Middels_90,5528,500,1231,1560,1944
Middels_90,5530,500,801,1195,1613
Middels_90,5532,500,1224,1553,1938
Middels_90,5534,500,1090,1436,1813
Middels_90,5536,500,1609,2028,2518
Middels_90,5538,500,173,220,272
Middels_90,5540,500,175,222,273
Middels_90,5542,500,1612,2031,2520
Middels_90,5544,500,871,1174,1509
Middels_90,5546,500,1059,1385,1757
Middels_90,5601,500,653,1007,1413
Middels_90,5603,500,948,1254,1610
Middels_90,5605,500,776,1092,1459
