KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
4634,Masfjorden,Bergen,4590.0,4590.0,26.23,2027-09-22,2035-01-30
4635,Gulen,Bergen,4082.0,4082.0,24.3,2027-09-29,2035-02-26
4636,Solund,Bergen,1189.0,1189.0,8.83,2026-11-25,2030-12-05
4637,Hyllestad,Bergen,3011.0,3011.0,17.97,2026-11-16,2030-10-29
4638,Høyanger,Bergen,3476.0,3476.0,37.33,2027-09-03,2034-10-31
4639,Vik,Bergen,4624.0,4624.0,43.03,2027-08-17,2034-08-08
4640,Sogndal,Bergen,9640.0,9640.0,68.17,2027-05-05,2033-06-22
4641,Aurland,Bergen,4599.0,4599.0,58.53,2027-06-18,2034-02-09
4642,Lærdal,Bergen,3598.0,3598.0,47.93,2027-07-27,2034-06-07
4643,Årdal,Bergen,2758.0,2758.0,37.13,2026-10-15,2030-03-18
4644,Luster,Bergen,6200.0,4650.0,75.62,2027-04-20,2033-04-28
4645,Askvoll,Bergen,4575.0,4575.0,22.83,2026-11-11,2030-08-02
4646,Fjaler,Bergen,3672.0,3672.0,23.6,2026-11-05,2030-07-17
4647,Sunnfjord,Bergen,22959.0,22959.0,127.2,2026-07-06,2028-05-17
4648,Bremanger,Bergen,4648.0,4648.0,37.4,2027-08-25,2034-10-02
4649,Stad,Bergen,12853.0,12853.0,58.37,2027-07-02,2034-03-22
4650,Gloppen,Bergen,7841.0,7841.0,49.0,2027-07-14,2034-04-12
4651,Stryn,Bergen,7377.0,7377.0,61.17,2027-06-04,2033-12-01
5001,Trondheim - Tråante,Trondheim,20525.0,20525.0,59.53,2026-09-30,2030-01-17
5006,Steinkjer,Trondheim,15485.0,0.0,0.0,2026-05-01,2027-02-17
5007,Namsos - Nåavmesjenjaelmie,Trondheim,9057.0,0.0,0.0,2026-05-01,2027-03-02
