Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,MIP_vektet,3242,500,52,109,161
Middels_90,MIP_vektet,3301,500,419,1294,2272
Middels_90,MIP_vektet,3303,500,226,599,1625
Middels_90,MIP_vektet,3305,500,422,1022,1880
Middels_90,MIP_vektet,3310,500,53,111,166
Middels_90,MIP_vektet,3312,500,660,1506,2342
Middels_90,MIP_vektet,3314,500,487,1360,2213
Middels_90,MIP_vektet,3316,500,331,1086,2029
Middels_90,MIP_vektet,3318,500,58,118,175
Middels_90,MIP_vektet,3320,500,423,1140,2097
Middels_90,MIP_vektet,3322,500,268,771,1839
Middels_90,MIP_vektet,3324,500,399,1075,2071
Middels_90,MIP_vektet,3326,500,425,1189,2120
Middels_90,MIP_vektet,3328,500,222,595,1312
Middels_90,MIP_vektet,3330,500,201,529,1477
Middels_90,MIP_vektet,3332,500,242,701,1702
Middels_90,MIP_vektet,3334,500,61,129,189
Middels_90,MIP_vektet,3336,500,775,1577,2453
Middels_90,MIP_vektet,3338,500,193,431,763
Middels_90,MIP_vektet,3401,500,572,1183,1909
Middels_90,MIP_vektet,3403,500,1017,2073,3094
Middels_90,MIP_vektet,3405,500,892,1838,2782
Middels_90,MIP_vektet,3407,500,1116,2291,3396
Middels_90,MIP_vektet,3411,500,1010,2054,3057
Middels_90,MIP_vektet,3412,500,1016,2075,3091
Middels_90,MIP_vektet,3413,500,584,1191,1921
Middels_90,MIP_vektet,3414,500,62,131,195
Middels_90,MIP_vektet,3415,500,66,137,202
Middels_90,MIP_vektet,3416,500,68,141,210
Middels_90,MIP_vektet,3417,500,69,145,216
Middels_90,MIP_vektet,3418,500,73,151,223
