KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
4222,Bykle,Kristiansand,Bergen,True,23.13,4958.0,5,2026-10-15,23,2028-04-15
4223,Vennesla,Kristiansand,Bergen,True,2.02,10530.0,5,2026-10-15,23,2028-04-15
4224,Åseral,Kristiansand,Trondheim,True,19.07,5558.0,5,2026-10-15,23,2028-04-15
4225,Lyngdal,Kristiansand,Bergen,True,27.52,13449.0,5,2026-10-15,23,2028-04-15
4227,Kvinesdal,Kristiansand,Skien,True,29.9,10186.0,3,2026-08-15,15,2027-08-15
4228,Sirdal,Kristiansand,Skien,True,31.2,8126.0,2,2026-07-15,9,2027-02-15
4601,Bergen,Bergen,Tromsø,True,30.6,30466.0,0,2026-05-15,4,2026-09-15
4602,Kinn,Bergen,Skien,True,22.67,9385.0,2,2026-07-15,9,2027-02-15
4611,Etne,Bergen,Bodø,True,24.95,10118.0,4,2026-09-15,18,2027-11-15
4612,Sveio,Bergen,Hamar,True,12.83,8328.0,0,2026-05-15,4,2026-09-15
4613,Bømlo,Bergen,Skien,True,3.33,6759.0,0,2026-05-15,4,2026-09-15
4614,Stord,Bergen,Hamar,True,8.57,5301.0,0,2026-05-15,4,2026-09-15
4617,Kvinnherad,Bergen,Oslo,True,28.15,8939.0,4,2026-09-15,18,2027-11-15
4618,Ullensvang,Bergen,Bergen,False,71.77,18650.0,2,2026-07-15,9,2027-02-15
4619,Eidfjord,Bergen,Trondheim,True,32.12,5017.0,0,2026-05-15,4,2026-09-15
4620,Ulvik,Bergen,Trondheim,True,14.62,2743.0,2,2026-07-15,9,2027-02-15
4621,Voss,Bergen,Kristiansand,True,60.22,23191.0,3,2026-08-15,15,2027-08-15
4622,Kvam,Bergen,Trondheim,True,25.12,11908.0,4,2026-09-15,18,2027-11-15
4623,Samnanger,Bergen,Trondheim,True,7.62,2675.0,3,2026-08-15,15,2027-08-15
4624,Bjørnafjorden,Bergen,Tromsø,True,19.98,10297.0,5,2026-10-15,24,2028-05-15
4626,Øygarden,Bergen,Bodø,True,17.88,11226.0,5,2026-10-15,24,2028-05-15
4627,Askøy,Bergen,Trondheim,True,7.28,5218.0,5,2026-10-15,24,2028-05-15
4628,Vaksdal,Bergen,Bodø,True,15.9,4528.0,10,2027-03-15,27,2028-08-15
4630,Osterøy,Bergen,Kristiansand,True,14.72,8960.0,10,2027-03-15,27,2028-08-15
4631,Alver,Bergen,Stavanger,True,36.83,27783.0,10,2027-03-15,27,2028-08-15
4632,Austrheim,Bergen,Bergen,False,3.73,3305.0,5,2026-10-15,24,2028-05-15
4634,Masfjorden,Bergen,Tromsø,True,13.12,4590.0,10,2027-03-15,27,2028-08-15
4635,Gulen,Bergen,Stavanger,True,12.15,4082.0,10,2027-03-15,27,2028-08-15
4636,Solund,Bergen,Bergen,False,4.42,1189.0,1,2026-06-15,7,2026-12-15
4637,Hyllestad,Bergen,Skien,True,8.98,3011.0,3,2026-08-15,15,2027-08-15
4638,Høyanger,Bergen,Kristiansand,True,18.67,3476.0,2,2026-07-15,9,2027-02-15
4639,Vik,Bergen,Bodø,True,21.52,4624.0,2,2026-07-15,9,2027-02-15
4640,Sogndal,Bergen,Oslo,True,34.08,9640.0,2,2026-07-15,10,2027-03-15
4641,Aurland,Bergen,Kristiansand,True,29.27,4599.0,2,2026-07-15,10,2027-03-15
4642,Lærdal,Bergen,Skien,True,23.97,3598.0,0,2026-05-15,4,2026-09-15
4643,Årdal,Bergen,Oslo,True,18.57,2758.0,2,2026-07-15,10,2027-03-15
4644,Luster,Bergen,,True,37.81,6200.0,2,2026-07-15,10,2027-03-15
4645,Askvoll,Bergen,Trondheim,True,11.42,4575.0,1,2026-06-15,7,2026-12-15
4646,Fjaler,Bergen,Stavanger,True,11.8,3672.0,2,2026-07-15,10,2027-03-15
4647,Sunnfjord,Bergen,Stavanger,True,63.6,22959.0,1,2026-06-15,7,2026-12-15
4648,Bremanger,Bergen,Trondheim,True,18.7,4648.0,2,2026-07-15,10,2027-03-15
4649,Stad,Bergen,Stavanger,True,29.18,12853.0,2,2026-07-15,10,2027-03-15
4650,Gloppen,Bergen,Oslo,True,24.5,7841.0,2,2026-07-15,10,2027-03-15
4651,Stryn,Bergen,Trondheim,True,30.58,7377.0,2,2026-07-15,10,2027-03-15
5001,Trondheim - Tråante,Trondheim,Kristiansand,True,29.77,20525.0,5,2026-10-15,24,2028-05-15
5021,Oppdal,Trondheim,Kristiansand,True,76.88,37049.0,4,2026-09-15,19,2027-12-15
5025,Rosse - Røros,Trondheim,Trondheim,False,51.28,11912.0,1,2026-06-15,7,2026-12-15
5026,Holtålen,Trondheim,Tromsø,True,28.25,6292.0,2,2026-07-15,10,2027-03-15
5027,Midtre Gauldal,Trondheim,Hamar,True,49.35,13652.0,0,2026-05-15,5,2026-10-15
5028,Melhus,Trondheim,Hamar,True,23.92,7720.0,0,2026-05-15,5,2026-10-15
