KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
5061,Rindal,Trondheim,Trondheim,False,16.88,4368.0,3,66
5501,Tromsø,Tromsø,Tromsø,False,63.6,27947.0,4,68
5503,Harstad - Hárstták,Tromsø,Tromsø,False,27.28,16861.0,3,55
5512,Dielddanuorri - Tjeldsund,Tromsø,Tromsø,False,24.27,8058.0,2,46
5514,Ibestad,Tromsø,Tromsø,False,8.68,3259.0,5,96
5516,Gratangen,Tromsø,Tromsø,False,7.82,2092.0,5,97
5518,Loabák - Lavangen,Tromsø,Oslo,True,7.17,1546.0,5,98
5520,Bardu,Tromsø,Tromsø,False,43.93,6502.0,1,33
5522,Salangen,Tromsø,Tromsø,False,11.93,2841.0,4,81
5524,Målselv,Tromsø,Tromsø,False,7.16,14811.0,5,85
5526,Sørreisa,Tromsø,Tromsø,False,10.53,3369.0,6,106
5528,Dyrøy,Tromsø,Tromsø,False,0.76,1965.0,5,98
5530,Senja,Tromsø,Trondheim,True,52.38,17646.0,2,38
5532,Balsfjord,Tromsø,Tromsø,False,4.59,13047.0,5,87
5534,Karlsøy,Tromsø,Bodø,True,25.07,5355.0,2,48
5536,Lyngen,Tromsø,Tromsø,False,18.13,4562.0,4,80
5542,Skjervøy,Tromsø,Tromsø,False,1.1,2218.0,4,82
5544,Nordreisa - Ráisa - Raisi,Tromsø,Tromsø,False,53.15,4821.0,0,19
5546,Kvænangen,Tromsø,Tromsø,False,32.62,4328.0,5,95
5601,Alta,Tromsø,Skien,True,72.96,17457.0,3,55
5603,Hammerfest - Hámmerfeasta,Tromsø,Tromsø,False,44.7,6601.0,0,16
5605,Sør-Varanger,Tromsø,Stavanger,True,61.47,7082.0,0,15
5607,Vadsø,Tromsø,Hamar,True,28.47,5170.0,3,65
5610,Kárášjohka - Karasjok,Tromsø,Tromsø,False,96.35,8565.0,6,103
5612,Guovdageaidnu - Kautokeino,Tromsø,Stavanger,True,179.3,19267.0,7,107
5614,Loppa,Tromsø,Tromsø,False,11.63,1446.0,3,67
5616,Hasvik,Tromsø,Tromsø,False,9.4,1313.0,5,98
5618,Måsøy,Tromsø,Tromsø,False,18.62,1802.0,3,67
5620,Nordkapp,Tromsø,Tromsø,False,16.35,1716.0,3,67
5622,Porsanger - Porsáŋgu - Porsanki,Tromsø,Tromsø,False,87.38,9568.0,3,60
5624,Lebesby,Tromsø,Tromsø,False,44.53,3191.0,2,50
5628,Deatnu - Tana,Tromsø,Skien,True,72.72,9359.0,0,9
5636,Unjárga - Nesseby,Tromsø,Tromsø,False,30.3,3635.0,2,50
