KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
4622,Kvam,Bergen,11908.0,11908.0,37.67,2026-09-03,2028-10-09
4623,Samnanger,Bergen,2675.0,2675.0,11.43,2026-10-27,2029-05-22
4624,Bjørnafjorden,Bergen,10297.0,10297.0,29.98,2026-09-21,2028-12-28
4625,Austevoll,Bergen,2012.0,0.0,0.0,2026-05-01,2026-10-27
4626,Øygarden,Bergen,11226.0,11226.0,26.82,2026-10-06,2029-03-09
4627,Askøy,Bergen,5218.0,5218.0,10.93,2026-10-29,2029-06-06
4628,Vaksdal,Bergen,4528.0,4528.0,23.85,2027-03-19,2031-02-27
4629,Modalen,Bergen,1428.0,0.0,0.0,2026-05-01,2026-10-28
4630,Osterøy,Bergen,8960.0,8960.0,22.07,2027-03-25,2031-03-24
4631,Alver,Bergen,27783.0,27783.0,55.25,2027-03-15,2031-02-04
4632,Austrheim,Bergen,3305.0,3305.0,5.6,2026-11-02,2029-07-05
4633,Fedje,Bergen,778.0,0.0,0.0,2026-05-01,2026-10-28
4634,Masfjorden,Bergen,4590.0,4590.0,19.68,2027-03-31,2031-04-22
4635,Gulen,Bergen,4082.0,4082.0,18.23,2027-07-30,2032-05-04
4636,Solund,Bergen,1189.0,1189.0,6.62,2026-10-30,2029-07-03
4637,Hyllestad,Bergen,3011.0,3011.0,13.47,2026-10-22,2029-05-07
4638,Høyanger,Bergen,3476.0,3476.0,28.0,2027-07-16,2032-03-09
4639,Vik,Bergen,4624.0,4624.0,32.27,2027-07-02,2032-02-11
4640,Sogndal,Bergen,9640.0,9640.0,51.12,2027-04-12,2031-05-20
4641,Aurland,Bergen,4599.0,4599.0,43.9,2027-05-17,2031-10-13
4642,Lærdal,Bergen,3598.0,3598.0,35.95,2027-06-16,2032-01-23
4643,Årdal,Bergen,2758.0,2758.0,27.85,2026-09-29,2029-02-06
4644,Luster,Bergen,6200.0,4650.0,56.72,2026-07-30,2028-05-01
4645,Askvoll,Bergen,4575.0,4575.0,17.12,2026-10-20,2029-04-17
4646,Fjaler,Bergen,3672.0,3672.0,17.7,2026-10-15,2029-04-09
4647,Sunnfjord,Bergen,22959.0,22959.0,95.4,2026-06-23,2027-09-06
4648,Bremanger,Bergen,4648.0,4648.0,28.05,2027-07-09,2032-02-27
