Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,1539,500,14,31,46
Middels_90,1547,500,345,705,1070
Middels_90,1554,500,321,669,1028
Middels_90,1557,500,305,622,999
Middels_90,1560,500,271,613,951
Middels_90,1563,500,171,432,2296
Middels_90,1566,500,191,396,734
Middels_90,1573,500,16,33,48
Middels_90,1576,500,268,554,873
Middels_90,1577,500,19,40,59
Middels_90,1578,500,258,1489,2400
Middels_90,1579,500,230,507,836
Middels_90,1580,500,718,1690,2538
Middels_90,1804,500,327,918,2611
Middels_90,1806,500,202,437,851
Middels_90,1811,500,618,1355,2061
Middels_90,1812,500,793,1615,2399
Middels_90,1813,500,600,1292,2009
Middels_90,1815,500,802,1644,2448
Middels_90,1816,500,761,1545,2355
Middels_90,1818,500,810,1668,2495
Middels_90,1820,500,782,1593,2439
Middels_90,1822,500,1108,2390,3563
Middels_90,1824,500,356,817,1460
Middels_90,1825,500,460,1042,1656
Middels_90,1826,500,272,757,1368
Middels_90,1827,500,1166,2400,3569
Middels_90,1828,500,1166,2406,3575
Middels_90,1832,500,1186,2429,3613
Middels_90,1833,500,1185,2426,3606
Middels_90,1834,500,1188,2435,3620
Middels_90,1835,500,817,1674,2495
Middels_90,1836,500,1103,2345,3532
Middels_90,1837,500,1188,2434,3618
Middels_90,1838,500,1010,2299,3531
Middels_90,1839,500,632,1314,2793
Middels_90,1840,500,297,775,1438
Middels_90,1841,500,552,1598,3317
Middels_90,1845,500,626,1539,3200
Middels_90,1848,500,611,1315,2068
Middels_90,1851,500,760,1548,2335
Middels_90,1853,500,759,1568,2377
Middels_90,1856,500,817,1673,2495
Middels_90,1857,500,817,1671,2495
Middels_90,1859,500,801,1618,2420
Middels_90,1860,500,655,1446,2231
Middels_90,1865,500,735,1499,2278
Middels_90,1866,500,632,1403,2155
Middels_90,1867,500,787,1608,2425
Middels_90,1868,500,20,41,62
Middels_90,1870,500,639,1383,2169
Middels_90,1871,500,543,1263,1992
Middels_90,1874,500,809,1663,2476
Middels_90,1875,500,411,977,1642
Middels_90,3101,500,25,53,77
Middels_90,3103,500,824,1677,2490
Middels_90,3105,500,636,1452,2329
Middels_90,3107,500,633,1454,2308
Middels_90,3110,500,839,1695,2574
Middels_90,3112,500,26,55,82
Middels_90,3114,500,767,1604,2461
Middels_90,3116,500,851,1727,2617
Middels_90,3118,500,432,1154,1953
Middels_90,3120,500,852,1731,2623
Middels_90,3122,500,27,56,84
Middels_90,3124,500,27,59,87
Middels_90,3201,500,898,1823,2707
Middels_90,3203,500,838,1766,2636
Middels_90,3205,500,632,1417,2289
Middels_90,3207,500,31,66,96
Middels_90,3209,500,751,1592,2415
Middels_90,3212,500,32,68,101
Middels_90,3214,500,34,73,105
Middels_90,3216,500,37,75,112
Middels_90,3218,500,38,77,117
Middels_90,3220,500,39,82,123
Middels_90,3222,500,850,1711,2580
Middels_90,3224,500,40,84,126
Middels_90,3226,500,376,1111,1872
Middels_90,3228,500,557,1328,2134
Middels_90,3230,500,41,87,129
Middels_90,3232,500,762,1618,2456
Middels_90,3234,500,45,91,137
Middels_90,3236,500,46,95,140
Middels_90,3238,500,47,98,147
Middels_90,3240,500,51,104,154
Middels_90,3242,500,52,109,161
Middels_90,3301,500,639,1419,2260
Middels_90,3303,500,320,1009,1803
Middels_90,3305,500,250,634,1390
Middels_90,3310,500,53,111,166
Middels_90,3312,500,732,1546,2355
Middels_90,3314,500,640,1474,2292
Middels_90,3316,500,535,1309,2133
Middels_90,3318,500,58,118,175
Middels_90,3320,500,607,1337,2161
Middels_90,3322,500,430,1152,1986
Middels_90,3324,500,560,1335,2111
Middels_90,3326,500,635,1374,2189
Middels_90,3328,500,359,936,1758
Middels_90,3330,500,312,912,1748
Middels_90,3332,500,374,1095,1902
Middels_90,3334,500,61,129,189
Middels_90,3336,500,795,1629,2421
Middels_90,3338,500,275,621,1403
Middels_90,3401,500,524,1085,1669
Middels_90,3403,500,1140,2371,3555
Middels_90,3405,500,1052,2181,3283
Middels_90,3407,500,1067,2164,3269
Middels_90,3411,500,1136,2351,3534
Middels_90,3412,500,1143,2373,3555
Middels_90,3413,500,528,1089,1676
Middels_90,3414,500,62,131,195
Middels_90,3415,500,66,137,202
Middels_90,3416,500,68,141,210
Middels_90,3417,500,69,145,216
Middels_90,3418,500,73,151,223
Middels_90,3419,500,1139,2367,3549
Middels_90,3420,500,1129,2356,3519
Middels_90,3421,500,1124,2339,3510
Middels_90,3422,500,1116,2321,3477
Middels_90,3423,500,1098,2272,3414
Middels_90,3424,500,662,1390,2204
Middels_90,3425,500,1101,2273,3427
Middels_90,3426,500,1091,2280,3408
Middels_90,3427,500,758,1685,2755
Middels_90,3428,500,900,1896,3037
Middels_90,3429,500,1091,2282,3421
Middels_90,3430,500,1104,2292,3434
Middels_90,3431,500,891,1837,3024
Middels_90,3432,500,879,1824,2987
Middels_90,3433,500,957,1949,3044
Middels_90,3434,500,927,1951,3052
Middels_90,3435,500,863,1910,3049
