uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2027,2,Bergen,0.0,28.85,0.0
2027,2,Molde,5.05,18.03,0.28
2027,2,Trondheim,37.5,37.5,1.0
2027,2,Bodø,0.0,15.87,0.0
2027,2,Tromsø,25.24,25.24,1.0
2027,3,Oslo,0.0,21.63,0.0
2027,3,Hamar,18.03,18.03,1.0
2027,3,Skien,28.85,28.85,1.0
2027,3,Kristiansand,0.0,21.63,0.0
2027,3,Stavanger,0.0,20.19,0.0
2027,3,Bergen,0.0,28.85,0.0
2027,3,Molde,0.0,18.03,0.0
2027,3,Trondheim,1.17,37.5,0.031
2027,3,Bodø,0.0,15.87,0.0
2027,3,Tromsø,25.24,25.24,1.0
2027,4,Oslo,0.0,21.63,0.0
2027,4,Hamar,18.03,18.03,1.0
2027,4,Skien,28.85,28.85,1.0
2027,4,Kristiansand,0.0,21.63,0.0
2027,4,Stavanger,0.0,20.19,0.0
2027,4,Bergen,0.0,28.85,0.0
2027,4,Molde,0.0,18.03,0.0
2027,4,Trondheim,0.0,37.5,0.0
2027,4,Bodø,0.0,15.87,0.0
2027,4,Tromsø,25.24,25.24,1.0
2027,5,Oslo,0.0,21.63,0.0
2027,5,Hamar,18.03,18.03,1.0
2027,5,Skien,28.85,28.85,1.0
2027,5,Kristiansand,0.0,21.63,0.0
2027,5,Stavanger,0.0,20.19,0.0
2027,5,Bergen,0.0,28.85,0.0
2027,5,Molde,0.0,18.03,0.0
2027,5,Trondheim,0.0,37.5,0.0
2027,5,Bodø,0.0,15.87,0.0
2027,5,Tromsø,25.24,25.24,1.0
2027,6,Oslo,0.0,21.63,0.0
2027,6,Hamar,18.03,18.03,1.0
2027,6,Skien,28.85,28.85,1.0
2027,6,Kristiansand,0.0,21.63,0.0
2027,6,Stavanger,0.0,20.19,0.0
2027,6,Bergen,0.0,28.85,0.0
2027,6,Molde,0.0,18.03,0.0
2027,6,Trondheim,0.0,37.5,0.0
2027,6,Bodø,0.0,15.87,0.0
2027,6,Tromsø,25.24,25.24,1.0
2027,7,Oslo,0.0,21.63,0.0
2027,7,Hamar,18.03,18.03,1.0
2027,7,Skien,28.85,28.85,1.0
2027,7,Kristiansand,0.0,21.63,0.0
2027,7,Stavanger,0.0,20.19,0.0
2027,7,Bergen,0.0,28.85,0.0
2027,7,Molde,0.0,18.03,0.0
2027,7,Trondheim,0.0,37.5,0.0
2027,7,Bodø,0.0,15.87,0.0
2027,7,Tromsø,25.24,25.24,1.0
2027,8,Oslo,0.0,21.63,0.0
2027,8,Hamar,18.03,18.03,1.0
2027,8,Skien,28.85,28.85,1.0
2027,8,Kristiansand,0.0,21.63,0.0
2027,8,Stavanger,0.0,20.19,0.0
2027,8,Bergen,0.0,28.85,0.0
2027,8,Molde,0.0,18.03,0.0
2027,8,Trondheim,0.0,37.5,0.0
2027,8,Bodø,0.0,15.87,0.0
2027,8,Tromsø,10.03,25.24,0.397
2027,9,Oslo,0.0,21.63,0.0
2027,9,Hamar,18.03,18.03,1.0
2027,9,Skien,28.85,28.85,1.0
2027,9,Kristiansand,0.0,21.63,0.0
2027,9,Stavanger,0.0,20.19,0.0
2027,9,Bergen,28.85,28.85,1.0
2027,9,Molde,0.0,18.03,0.0
2027,9,Trondheim,0.0,37.5,0.0
2027,9,Bodø,0.0,15.87,0.0
2027,9,Tromsø,0.0,25.24,0.0
2027,10,Oslo,0.0,21.63,0.0
2027,10,Hamar,18.03,18.03,1.0
2027,10,Skien,28.85,28.85,1.0
2027,10,Kristiansand,0.0,21.63,0.0
2027,10,Stavanger,0.0,20.19,0.0
2027,10,Bergen,28.85,28.85,1.0
2027,10,Molde,0.0,18.03,0.0
2027,10,Trondheim,0.0,37.5,0.0
2027,10,Bodø,0.0,15.87,0.0
2027,10,Tromsø,0.0,25.24,0.0
2027,11,Oslo,0.0,21.63,0.0
2027,11,Hamar,18.03,18.03,1.0
2027,11,Skien,28.85,28.85,1.0
2027,11,Kristiansand,0.0,21.63,0.0
2027,11,Stavanger,0.0,20.19,0.0
2027,11,Bergen,28.85,28.85,1.0
2027,11,Molde,0.0,18.03,0.0
2027,11,Trondheim,0.0,37.5,0.0
2027,11,Bodø,0.0,15.87,0.0
2027,11,Tromsø,0.0,25.24,0.0
2027,12,Oslo,0.0,21.63,0.0
2027,12,Hamar,18.03,18.03,1.0
2027,12,Skien,24.31,28.85,0.843
2027,12,Kristiansand,0.0,21.63,0.0
2027,12,Stavanger,0.0,20.19,0.0
2027,12,Bergen,6.18,28.85,0.214
2027,12,Molde,0.0,18.03,0.0
2027,12,Trondheim,0.0,37.5,0.0
2027,12,Bodø,0.0,15.87,0.0
