KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
4641,Aurland,Bergen,Bergen,False,29.27,4599.0,2,2026-07-15,14,2027-07-15
4642,Lærdal,Bergen,Bergen,False,23.97,3598.0,1,2026-06-15,11,2027-04-15
4643,Årdal,Bergen,Bergen,False,18.57,2758.0,3,2026-08-15,18,2027-11-15
4644,Luster,Bergen,Bergen,False,37.81,6200.0,2,2026-07-15,14,2027-07-15
4645,Askvoll,Bergen,Bergen,False,11.42,4575.0,4,2026-09-15,23,2028-04-15
4646,Fjaler,Bergen,Bergen,False,11.8,3672.0,4,2026-09-15,23,2028-04-15
4647,Sunnfjord,Bergen,Molde,True,63.6,22959.0,1,2026-06-15,8,2027-01-15
4648,Bremanger,Bergen,Bergen,False,18.7,4648.0,1,2026-06-15,11,2027-04-15
4649,Stad,Bergen,Bergen,False,29.18,12853.0,0,2026-05-15,1,2026-06-15
4650,Gloppen,Bergen,Bergen,False,24.5,7841.0,1,2026-06-15,10,2027-03-15
4651,Stryn,Bergen,Bergen,False,30.58,7377.0,0,2026-05-15,4,2026-09-15
5001,Trondheim - Tråante,Trondheim,Trondheim,False,29.77,20525.0,4,2026-09-15,19,2027-12-15
5021,Oppdal,Trondheim,Skien,True,76.88,37049.0,2,2026-07-15,11,2027-04-15
5025,Rosse - Røros,Trondheim,Trondheim,False,51.28,11912.0,1,2026-06-15,9,2027-02-15
5026,Holtålen,Trondheim,Trondheim,False,28.25,6292.0,2,2026-07-15,13,2027-06-15
5027,Midtre Gauldal,Trondheim,Trondheim,False,49.35,13652.0,0,2026-05-15,1,2026-06-15
5028,Melhus,Trondheim,Trondheim,False,23.92,7720.0,0,2026-05-15,4,2026-09-15
5029,Skaun,Trondheim,Trondheim,False,10.4,4079.0,0,2026-05-15,6,2026-11-15
5032,Selbu,Trondheim,Trondheim,False,27.87,6104.0,3,2026-08-15,17,2027-10-15
5033,Tydal,Trondheim,Trondheim,False,32.18,9999.0,3,2026-08-15,16,2027-09-15
5034,Meråker,Trondheim,Trondheim,False,30.3,7116.0,1,2026-06-15,10,2027-03-15
5035,Stjørdal,Trondheim,Trondheim,False,37.83,13808.0,3,2026-08-15,15,2027-08-15
5038,Verdal,Trondheim,Trondheim,False,28.41,9686.0,2,2026-07-15,13,2027-06-15
5041,Snåase - Snåsa,Trondheim,Trondheim,False,41.1,5861.0,1,2026-06-15,10,2027-03-15
5042,Lierne,Trondheim,Trondheim,False,40.82,2972.0,0,2026-05-15,7,2026-12-15
5043,Raarvihke - Røyrvik,Trondheim,Trondheim,False,17.27,772.0,2,2026-07-15,14,2027-07-15
5044,Namsskogan,Trondheim,Trondheim,False,20.82,2245.0,3,2026-08-15,18,2027-11-15
5045,Grong,Trondheim,Trondheim,False,25.7,4904.0,3,2026-08-15,18,2027-11-15
5046,Høylandet,Trondheim,Trondheim,False,13.02,2199.0,3,2026-08-15,18,2027-11-15
5047,Overhalla,Trondheim,Trondheim,False,16.88,3968.0,1,2026-06-15,11,2027-04-15
5049,Flatanger,Trondheim,Trondheim,False,7.68,1418.0,3,2026-08-15,18,2027-11-15
5053,Inderøy,Trondheim,Trondheim,False,17.63,7306.0,4,2026-09-15,22,2028-03-15
5054,Indre Fosen,Trondheim,Trondheim,False,36.0,9918.0,2,2026-07-15,13,2027-06-15
5055,Heim,Trondheim,Trondheim,False,29.67,10013.0,3,2026-08-15,16,2027-09-15
5056,Hitra,Trondheim,Trondheim,False,20.32,8759.0,4,2026-09-15,22,2028-03-15
5058,Åfjord,Trondheim,Trondheim,False,30.12,8387.0,1,2026-06-15,9,2027-02-15
5059,Orkland,Trondheim,Trondheim,False,57.52,21540.0,0,2026-05-15,0,2026-05-15
5061,Rindal,Trondheim,Trondheim,False,16.88,4368.0,2,2026-07-15,14,2027-07-15
5501,Tromsø,Tromsø,Tromsø,False,63.6,27947.0,4,2026-09-15,19,2027-12-15
5503,Harstad - Hárstták,Tromsø,Tromsø,False,27.28,16861.0,4,2026-09-15,19,2027-12-15
5512,Dielddanuorri - Tjeldsund,Tromsø,Tromsø,False,24.27,8058.0,0,2026-05-15,3,2026-08-15
5514,Ibestad,Tromsø,Tromsø,False,8.68,3259.0,4,2026-09-15,23,2028-04-15
5516,Gratangen,Tromsø,Tromsø,False,7.82,2092.0,3,2026-08-15,18,2027-11-15
5518,Loabák - Lavangen,Tromsø,Tromsø,False,7.17,1546.0,4,2026-09-15,23,2028-04-15
5520,Bardu,Tromsø,Tromsø,False,43.93,6502.0,3,2026-08-15,17,2027-10-15
5522,Salangen,Tromsø,Tromsø,False,11.93,2841.0,3,2026-08-15,18,2027-11-15
5524,Målselv,Tromsø,Tromsø,False,7.16,14811.0,5,2026-10-15,25,2028-06-15
5526,Sørreisa,Tromsø,Tromsø,False,10.53,3369.0,4,2026-09-15,23,2028-04-15
5528,Dyrøy,Tromsø,Tromsø,False,0.76,1965.0,5,2026-10-15,28,2028-09-15
5530,Senja,Tromsø,Tromsø,False,52.38,17646.0,5,2026-10-15,25,2028-06-15
5532,Balsfjord,Tromsø,Tromsø,False,4.59,13047.0,0,2026-05-15,1,2026-06-15
